deal_id,company_domain,label
DEAL000001,oliver.com,Primary
DEAL000002,garcia.com,Billing
DEAL000003,strong.com,Billing
DEAL000004,adams.com,Billing
DEAL000005,oliver.com,Billing
DEAL000006,strong.com,Primary
DEAL000007,adams.com,Primary
DEAL000008,garcia.com,Secondary
DEAL000009,strong.com,Secondary
DEAL000010,oliver.com,Primary
DEAL000011,adams.com,Primary
DEAL000012,nichols-rivera.com,Billing
DEAL000013,garcia.com,Secondary
DEAL000014,sanchez.com,Primary
DEAL000015,oliver.com,Billing
DEAL000016,adams.com,Billing
DEAL000017,adams.com,Billing
DEAL000018,adams.com,Secondary
DEAL000019,nichols-rivera.com,Secondary
DEAL000020,oliver.com,Primary
DEAL000021,sanchez.com,Primary
DEAL000022,sanchez.com,Billing
DEAL000023,oliver.com,Billing
DEAL000024,nichols-rivera.com,Billing
DEAL000025,oliver.com,Billing
DEAL000026,adams.com,Primary
DEAL000027,oliver.com,Secondary
DEAL000028,strong.com,Primary
DEAL000029,oliver.com,Primary
DEAL000030,adams.com,Secondary
DEAL000031,adams.com,Billing
DEAL000032,adams.com,Billing
DEAL000033,strong.com,Secondary
DEAL000034,garcia.com,Billing
DEAL000035,nichols-rivera.com,Secondary
DEAL000036,nichols-rivera.com,Secondary
DEAL000037,strong.com,Primary
DEAL000038,oliver.com,Billing
DEAL000039,garcia.com,Billing
DEAL000040,adams.com,Secondary
DEAL000041,oliver.com,Secondary
DEAL000042,sanchez.com,Primary
DEAL000043,garcia.com,Primary
DEAL000044,garcia.com,Billing
DEAL000045,oliver.com,Primary
DEAL000046,oliver.com,Billing
DEAL000047,strong.com,Billing
DEAL000048,adams.com,Billing
DEAL000049,garcia.com,Primary
DEAL000050,nichols-rivera.com,Secondary
DEAL000051,strong.com,Secondary
DEAL000052,nichols-rivera.com,Secondary
DEAL000053,garcia.com,Billing
DEAL000054,strong.com,Billing
DEAL000055,oliver.com,Secondary
DEAL000056,sanchez.com,Primary
