line_item_id,deal_id,product_id,name,quantity,unit_price
1,1,5,Duo Toaster,4,171.99
2,1,5,Retro Toaster,2,63.31
3,1,2,Sunrise Toaster,5,44.49
4,2,1,Sunrise Toaster,5,25.60
5,2,2,Cosmo Toaster,2,136.22
6,3,1,Sunset Toaster,1,61.75
7,3,5,Duo Toaster,5,152.75
8,4,4,Sunset Toaster,2,103.17
9,4,5,Duo Toaster,3,131.09
10,5,1,Retro Toaster,5,48.64
11,5,2,Sunset Toaster,4,85.51
12,6,5,Duo Toaster,1,71.00
13,6,3,Duo Toaster,4,167.51
14,7,2,Cosmo Toaster,5,109.27
15,7,1,Cosmo Toaster,5,116.65
16,8,1,Sunrise Toaster,4,186.22
17,9,4,Sunset Toaster,3,142.77
18,10,2,Duo Toaster,4,70.75
19,10,1,Retro Toaster,1,36.35
20,10,3,Sunrise Toaster,3,78.76
21,11,1,Sunset Toaster,1,186.41
22,11,1,Sunset Toaster,3,55.42
23,12,4,Sunset Toaster,2,131.14
24,13,2,Retro Toaster,4,97.52
25,14,5,Retro Toaster,3,102.39
26,14,1,Sunset Toaster,5,55.10
27,14,5,Duo Toaster,3,151.40
28,15,2,Cosmo Toaster,3,148.53
29,16,2,Sunrise Toaster,5,66.30
30,17,4,Duo Toaster,5,109.56
31,18,1,Sunset Toaster,4,40.94
32,18,5,Duo Toaster,5,122.74
33,18,2,Cosmo Toaster,2,125.27
34,19,5,Sunset Toaster,3,126.16
35,19,5,Duo Toaster,2,100.19
36,19,1,Cosmo Toaster,3,115.64
37,20,5,Sunset Toaster,4,64.54
38,20,4,Duo Toaster,2,153.03
39,21,3,Cosmo Toaster,4,32.36
40,22,2,Cosmo Toaster,5,106.52
41,23,3,Sunset Toaster,1,198.43
42,23,4,Sunset Toaster,5,120.42
43,23,1,Sunset Toaster,5,96.19
44,24,1,Sunrise Toaster,4,96.30
45,24,2,Duo Toaster,4,67.03
46,24,4,Retro Toaster,1,62.84
47,25,5,Sunrise Toaster,5,190.82
48,25,3,Retro Toaster,4,156.43
49,25,5,Sunset Toaster,3,55.58
50,26,3,Duo Toaster,1,151.45
51,26,5,Sunset Toaster,3,170.35
52,27,1,Cosmo Toaster,5,141.67
53,28,4,Cosmo Toaster,4,132.59
54,28,3,Sunrise Toaster,2,27.28
55,29,3,Sunset Toaster,5,134.56
56,30,2,Retro Toaster,4,89.29
57,30,1,Duo Toaster,5,70.92
58,31,5,Sunset Toaster,4,90.74
59,32,4,Sunset Toaster,4,96.43
60,32,3,Cosmo Toaster,1,67.34
61,33,4,Cosmo Toaster,3,59.13
62,33,3,Cosmo Toaster,3,103.48
63,33,2,Retro Toaster,5,138.17
64,34,3,Sunset Toaster,1,67.37
65,35,1,Cosmo Toaster,5,157.85
66,35,5,Duo Toaster,4,66.82
67,35,4,Duo Toaster,2,55.65
68,36,1,Cosmo Toaster,4,89.31
69,36,4,Duo Toaster,1,149.66
70,36,2,Retro Toaster,5,67.63
71,37,1,Sunset Toaster,4,104.76
72,37,3,Sunrise Toaster,5,93.28
73,37,3,Cosmo Toaster,5,170.26
74,38,1,Cosmo Toaster,5,87.19
75,38,3,Sunset Toaster,1,29.16
76,38,2,Retro Toaster,2,115.78
77,39,1,Retro Toaster,2,128.71
78,39,2,Sunrise Toaster,4,95.02
79,39,5,Duo Toaster,1,128.46
80,40,5,Sunrise Toaster,1,54.90
81,41,2,Sunset Toaster,3,84.23
82,42,2,Sunrise Toaster,2,130.57
83,43,4,Sunrise Toaster,4,105.69
84,43,5,Duo Toaster,5,142.10
85,44,3,Sunrise Toaster,5,55.84
86,45,3,Sunrise Toaster,3,96.66
87,46,1,Sunrise Toaster,1,170.71
88,47,1,Retro Toaster,4,120.78
89,47,2,Retro Toaster,1,110.76
90,48,5,Retro Toaster,3,100.68
91,48,4,Sunrise Toaster,2,96.83
92,49,3,Sunset Toaster,5,31.21
93,49,2,Retro Toaster,4,171.04
94,50,5,Retro Toaster,4,114.25
95,50,5,Retro Toaster,4,65.98
96,50,4,Cosmo Toaster,1,41.79
97,51,2,Sunset Toaster,3,70.19
98,51,4,Duo Toaster,4,127.36
99,52,3,Cosmo Toaster,5,191.14
100,53,1,Retro Toaster,5,142.19
101,53,1,Duo Toaster,4,189.15
102,53,5,Duo Toaster,1,143.29
103,54,1,Sunset Toaster,3,152.60
104,54,2,Cosmo Toaster,3,49.82
105,55,3,Duo Toaster,2,94.74
106,56,5,Duo Toaster,4,43.32
107,56,1,Retro Toaster,3,30.86
